Reference area,TIME_PERIOD,fb_index,n_obs,tonnes_CO2,hectares,tonnes_oil,sq_km,cubic_m
Finland,2005,95.32,1,6913.87883009238,22053.242857142857,12947.405,90179.86538518462,2507.6666666666665
Finland,2006,83.0,1,8029.378872841169,21647.028571428575,13558.525,90111.11769178462,
Finland,2007,98.42,1,8609.034901816114,22224.014285714286,13639.685,90093.9146153077,
Finland,2008,90.29,1,7349.306631341519,22460.87142857143,13153.53,90050.55769256923,
Finland,2009,85.41,1,5952.546415928326,24717.571428571428,12359.0,90046.43384553076,
Finland,2010,83.86,1,7951.376525623032,25143.899999999998,13530.189999999999,90033.07692272308,
Finland,2011,93.96,1,6997.487841074157,27859.285714285714,12790.03,90071.84769256154,210.9333333333333
Finland,2012,80.32,1,6126.896270364951,29224.64285714286,12904.625,90105.23307671538,453.98999999999995
Finland,2013,89.04,1,6780.090423405136,30149.18571428571,12879.315,90137.07461581539,163.19333333333333
Finland,2014,86.54,1,6186.157654804408,31059.714285714286,12816.225,90166.61384653076,194.28333333333333
Finland,2015,91.57,1,6163.412522726866,33146.357142857145,12552.065,90208.15384649616,186.0583333333333
Finland,2016,88.19,1,6928.02056126645,35004.95714285714,13107.839999999998,83947.14499990286,198.78333333333333
Finland,2017,79.39,1,6863.847854649692,38008.5,13130.57,90277.15230773001,191.1157
Finland,2018,73.78,1,7878.023908416834,43461.42857142857,13265.06,90327.53999931924,213.143
Finland,2019,72.11,1,7125.166722589381,44754.07142857143,13173.905,90357.46692273462,225.4317272727273
Finland,2020,82.29,1,6367.16065070203,46147.514285714286,12439.92,90387.07692305384,266.47590909090906
Finland,2021,86.12,1,7500.135302543897,47788.18571428571,13066.84,90426.87692314154,249.5609090909091
Finland,2022,74.06,1,7279.4807709694505,49462.07142857143,12205.635,90406.95384698384,244.9781818181818
Finland,2023,84.3,1,6674.462849098447,44733.05714285715,11639.070000000002,90383.46153836769,230.51399999999998
Finland,2024,79.32,1,,44472.54285714286,,150286.66666666666,226.51527272727273
Finland,2025,85.14,1,,0.0,,150286.66666666666,
Flemish Region,1990,146.0,1,,,,,
Flemish Region,1991,145.1,1,,,,,
Flemish Region,1992,121.7,1,,,,,
Flemish Region,1993,134.6,1,,,,,
Flemish Region,1994,123.7,1,,,,,
Flemish Region,1995,120.5,1,,,,,
Flemish Region,1996,125.4,1,,,,,
Flemish Region,1997,117.0,1,,,,,
Flemish Region,1998,112.9,1,,,,,
Flemish Region,1999,116.9,1,,,,,
Flemish Region,2000,100.0,1,,,,,
Flemish Region,2001,121.2,1,,,,,
Flemish Region,2002,92.3,1,,,,,
Flemish Region,2003,88.2,1,,,,,
Flemish Region,2004,101.3,1,,,,,
Flemish Region,2005,90.5,1,,,,,
Flemish Region,2006,97.2,1,,,,,
Flemish Region,2007,100.0,2,,,,,
Flemish Region,2008,99.5,2,,,,,
Flemish Region,2009,96.0,2,,,,,
Flemish Region,2010,99.5,2,,,,,
Flemish Region,2011,101.5,2,,,,,
Flemish Region,2012,102.5,2,,,,,
Flemish Region,2013,98.5,2,,,,,
Flemish Region,2014,94.5,2,,,,,
Flemish Region,2015,96.0,2,,,,,
Flemish Region,2016,93.5,2,,,,,
Flemish Region,2017,92.0,2,,,,,
Flemish Region,2018,90.5,2,,,,,
Flemish Region,2019,90.5,2,,,,,
Flemish Region,2020,90.0,2,,,,,
Flemish Region,2021,90.0,2,,,,,
Flemish Region,2022,86.0,2,,,,,
Flemish Region,2023,85.3,2,,,,,
Flemish Region,2024,85.26,2,,,,,
France,1990,133.571896853147,2,59112.347863761155,24209.516666666666,72524.185,147620.5,
France,1991,112.3502002030225,2,61864.24551300979,25341.95,77735.475,147691.49916583332,
France,1992,114.00962948342,2,60814.83342688264,28299.566666666666,78283.47,147762.5,
France,1993,107.201316828333,2,58169.69989709304,28298.95,76585.595,147833.50083333332,
France,1994,108.2333493119785,2,55351.33400640699,27783.0,75827.99500000001,147904.5,
France,1995,105.34926263252899,2,55761.55569944329,28450.316666666666,77399.36,147975.4983325,
France,1996,104.7460100383485,2,57160.127713844864,31146.61666666667,80466.395,148046.49916666668,
France,1997,108.61084480036101,2,56223.82811049421,33657.416666666664,79855.02,148117.49916666668,
France,1998,107.5176587525375,2,57562.801960757126,49727.85,81187.135,148188.5,
France,1999,100.97369868035196,2,56759.09661708828,56451.75714285714,81382.84999999999,148259.50083333332,
France,2000,100.0,2,57434.79318340887,62839.631428571425,82659.67,148330.58416666667,
France,2001,101.07521007218566,2,57003.255205361,71207.95714285715,85222.08499999999,148424.83416666667,
France,2002,109.41076731214906,2,55588.6747389421,85217.12857142858,83789.205,148519.08166583334,
France,2003,108.56189599077595,2,55578.628046171034,89951.5,85445.30500000001,148638.33333333334,
France,2004,102.39073192057455,2,55420.59756845291,87509.74285714285,86472.545,137679.38384615385,
France,2005,107.22314029380601,2,55620.63139820276,89859.52857142857,85878.855,137779.00076923077,
France,2006,102.57206817993546,2,54494.32317568468,112996.2,84761.435,137867.77076923076,
France,2007,107.83920146371159,2,53781.00670072588,90750.78571428571,83139.35500000001,137958.07615384617,
France,2008,101.935314721965,2,53494.73945483009,94537.34857142856,83492.97,138065.23153923076,172363.75
France,2009,94.92365345032991,2,52270.93326120253,137915.448,80182.34,138223.84538384614,159386.0
France,2010,100.76956065954761,2,52391.31522076762,132009.80285714284,81944.405,138440.8453846154,174454.25
France,2011,98.5665135514052,2,49726.652637560626,150583.01857142855,80267.755,138602.23076923078,127577.0
France,2012,100.27884530063724,2,49807.756557475994,158302.37714285712,82218.58499999999,138710.76846153845,207465.0
France,2013,95.4923286097239,2,49265.444481517465,162641.2185714286,83662.14499999999,129262.78714285714,237389.5
France,2014,92.69456019381576,2,46398.51502586185,170920.19714285713,78269.34000000001,129363.78499928571,213576.3512775
France,2015,98.66006701551964,2,47007.391923389,200066.90142857144,79437.91500000001,129569.07142857143,189597.302705
